INFO   | jvm 1    | 2013/12/28 14:02:16 | 103016196 [CNMIEmulatorProcessor [modem1]] DEBUG smslib  - ** disabled **
INFO   | jvm 1    | 2013/12/28 14:02:17 | 103017034 2013-12-28 14:02:17,186 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:17 | 103017034 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:22 | 103022035 2013-12-28 14:02:22,187 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:22 | 103022035 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:27 | 103027035 2013-12-28 14:02:27,187 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:27 | 103027035 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:29 | 103029786 2013-12-28 14:02:29,938 [WatchDog] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:29 | 103029786 [WatchDog] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:32 | 103032035 2013-12-28 14:02:32,187 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:32 | 103032035 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:37 | 103037036 2013-12-28 14:02:37,188 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:37 | 103037036 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:42 | 103042036 2013-12-28 14:02:42,188 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:42 | 103042036 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:45 | 103044787 2013-12-28 14:02:44,939 [WatchDog] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:45 | 103044787 [WatchDog] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:46 | 103046197 2013-12-28 14:02:46,349 [CNMIEmulatorProcessor [modem1]] DEBUG org.smslib.threading.AServiceThread  - ** disabled **
INFO   | jvm 1    | 2013/12/28 14:02:46 | 103046197 [CNMIEmulatorProcessor [modem1]] DEBUG smslib  - ** disabled **
INFO   | jvm 1    | 2013/12/28 14:02:47 | 103047036 2013-12-28 14:02:47,188 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:47 | 103047036 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:52 | 103052036 2013-12-28 14:02:52,188 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:52 | 103052036 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:57 | 103057037 2013-12-28 14:02:57,189 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:57 | 103057037 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:59 | 103059788 2013-12-28 14:02:59,940 [WatchDog] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:59 | 103059788 [WatchDog] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:01 | 103061337 2013-12-28 14:03:01,489 [KeepAlive [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:01 | 103061337 [KeepAlive [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:02 | 103062037 2013-12-28 14:03:02,189 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:02 | 103062037 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:07 | 103067037 2013-12-28 14:03:07,189 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:07 | 103067037 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:12 | 103072038 2013-12-28 14:03:12,190 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:12 | 103072038 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:14 | 103074789 2013-12-28 14:03:14,941 [WatchDog] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:14 | 103074789 [WatchDog] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:16 | 103076198 2013-12-28 14:03:16,350 [CNMIEmulatorProcessor [modem1]] DEBUG org.smslib.threading.AServiceThread  - ** disabled **
INFO   | jvm 1    | 2013/12/28 14:03:16 | 103076198 [CNMIEmulatorProcessor [modem1]] DEBUG smslib  - ** disabled **
INFO   | jvm 1    | 2013/12/28 14:03:17 | 103077038 2013-12-28 14:03:17,190 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:17 | 103077038 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:22 | 103082038 2013-12-28 14:03:22,190 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:22 | 103082038 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:27 | 103087039 2013-12-28 14:03:27,191 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:27 | 103087039 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:29 | 103089790 2013-12-28 14:03:29,942 [WatchDog] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:29 | 103089790 [WatchDog] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:32 | 103092039 2013-12-28 14:03:32,191 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:32 | 103092039 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:37 | 103097039 2013-12-28 14:03:37,191 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:37 | 103097039 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:42 | 103102040 2013-12-28 14:03:42,192 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:42 | 103102040 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:44 | 103104790 2013-12-28 14:03:44,942 [WatchDog] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:44 | 103104790 [WatchDog] DEBUG smslib  - Running...
